GeneID	Symbol	NES	p-value	FDR	Bonferroni
72978	Cnih3	6.09	0.00000000113	0.0000000206	0.00000099
15465	Hrh1	6.08	0.00000000118	0.0000000211	0.00000103
114584	Clic1	-6.08	0.00000000123	0.0000000215	0.00000107
14394	Gabra1	6.06	0.00000000136	0.0000000233	0.00000119
74191	P2ry13	6.05	0.00000000144	0.0000000237	0.00000125
17171	Mas1	6.05	0.00000000144	0.0000000237	0.00000126
22158	Tulp3	-5.98	0.00000000225	0.0000000363	0.00000196
50791	Magi2	5.97	0.00000000243	0.0000000385	0.00000212
56149	Grasp	5.92	0.00000000328	0.0000000511	0.00000286
109689	Arrb1	5.91	0.00000000342	0.0000000524	0.00000299
12801	Cnr1	5.84	0.00000000532	0.0000000801	0.00000465
11515	Adcy9	5.8	0.00000000653	0.0000000965	0.0000057
19339	Rab3a	5.74	0.00000000938	0.000000137	0.00000819
72674	Adipor1	-5.73	0.00000000998	0.000000143	0.00000871
11517	Adcyap1r1	5.69	0.0000000126	0.000000175	0.000011
11438	Chrna4	5.69	0.0000000126	0.000000175	0.000011
26404	Map3k12	5.65	0.0000000163	0.000000222	0.0000142
210044	Adcy2	5.64	0.0000000168	0.000000225	0.0000146
11845	Arf6	-5.59	0.0000000227	0.0000003	0.0000198
76854	Gper1	5.56	0.0000000263	0.000000342	0.0000229
26941	Slc9a3r1	-5.5	0.0000000389	0.000000499	0.000034
11502	Adam9	-5.48	0.0000000431	0.000000545	0.0000376
14402	Gabrb3	5.47	0.0000000439	0.000000547	0.0000383
109905	Rap1a	-5.47	0.000000045	0.000000553	0.0000392
227325	Dner	5.45	0.0000000512	0.000000619	0.0000447
29820	Tnfrsf19	5.45	0.0000000518	0.000000619	0.0000452
22174	Tyro3	5.39	0.000000071	0.000000838	0.000062
74734	Rhoh	-5.35	0.0000000902	0.00000104	0.0000787
12569	Cdk5r1	5.35	0.0000000902	0.00000104	0.0000788
67784	Plxnd1	5.33	0.0000000968	0.0000011	0.0000845
12042	Bcl10	-5.32	0.000000106	0.00000119	0.0000924
223881	Rnd1	5.29	0.000000121	0.00000134	0.000106
11852	Rhob	5.26	0.000000146	0.00000159	0.000128
54393	Gabbr1	5.25	0.00000015	0.00000161	0.000131
75668	Rasl10a	5.25	0.000000156	0.00000166	0.000136
11785	Apbb1	5.22	0.000000175	0.00000184	0.000153
233919	Gpr26	5.2	0.000000201	0.00000209	0.000176
11682	Alk	5.16	0.000000241	0.00000247	0.00021
71835	Lancl2	5.14	0.000000269	0.00000273	0.000235
14788	Gpr162	5.13	0.000000285	0.00000286	0.000249
108071	Grm5	5.11	0.000000318	0.00000316	0.000278
69908	Rab3b	5.1	0.000000347	0.00000341	0.000303
18414	Osmr	-5.09	0.000000352	0.00000341	0.000307
11853	Rhoc	-5.09	0.000000367	0.00000352	0.00032
13609	S1pr1	5.08	0.00000038	0.0000036	0.000332
276952	Rasl10b	5.07	0.000000403	0.00000376	0.000352
14823	Grm8	5.07	0.000000405	0.00000376	0.000353
70495	Atp6ap2	5.06	0.000000424	0.0000039	0.00037
13836	Epha2	-5.06	0.000000429	0.0000039	0.000374
19337	Rab33a	5.02	0.000000507	0.00000453	0.000443
19273	Ptpru	5.02	0.000000508	0.00000453	0.000444
64378	Gpr88	5.01	0.000000545	0.0000048	0.000476
107934	Celsr3	5.01	0.00000055	0.0000048	0.00048
16414	Itgb2	-5	0.000000579	0.000005	0.000505
19418	Rasgrf2	4.99	0.000000598	0.00000512	0.000522
13051	Cx3cr1	4.97	0.000000675	0.00000571	0.000589
108069	Grm3	4.97	0.00000068	0.00000571	0.000594
19159	Cyth3	-4.95	0.00000075	0.00000624	0.000655
11449	Chrng	4.94	0.000000784	0.00000646	0.000685
13838	Epha4	4.89	0.000000994	0.00000811	0.000868
14600	Ghr	-4.89	0.00000102	0.00000825	0.000891
16419	Itgb5	-4.86	0.0000012	0.00000961	0.00105
140580	Elmo1	4.85	0.00000122	0.00000971	0.00107
12794	Cnih2	4.84	0.00000128	0.0000101	0.00112
13867	Erbb3	4.81	0.00000148	0.0000115	0.00129
15985	Cd79b	-4.79	0.00000163	0.0000126	0.00142
20130	Rras	-4.74	0.00000217	0.0000166	0.0019
104215	Rhoq	-4.73	0.00000221	0.0000167	0.00193
104111	Adcy3	4.73	0.00000228	0.0000172	0.00199
19739	Rgs9	4.72	0.00000234	0.0000175	0.00204
106628	Trip10	-4.68	0.00000282	0.0000209	0.00246
16995	Ltb4r1	4.65	0.00000338	0.0000248	0.00295
270190	Ephb1	4.63	0.00000358	0.000026	0.00312
11536	Gpr182	4.63	0.00000361	0.000026	0.00315
20411	Sorbs1	4.62	0.00000389	0.0000279	0.0034
108073	Grm7	4.61	0.00000399	0.0000283	0.00348
110542	Amhr2	-4.61	0.00000408	0.0000288	0.00357
12475	Cd14	-4.6	0.0000042	0.0000293	0.00367
26556	Homer1	4.59	0.00000438	0.0000304	0.00383
217371	Rab40b	4.58	0.00000471	0.0000324	0.00411
106572	Rab31	-4.56	0.00000521	0.0000354	0.00455
13841	Epha7	4.56	0.00000523	0.0000354	0.00456
14811	Grin2a	4.5	0.00000685	0.000046	0.00598
14766	Adgrg1	4.5	0.00000693	0.0000462	0.00605
23964	Tenm2	4.45	0.00000847	0.0000561	0.0074
121021	Cspg4	4.45	0.00000876	0.0000575	0.00765
107449	Unc5b	-4.43	0.00000943	0.0000614	0.00823
12229	Btk	-4.4	0.0000108	0.0000698	0.00942
16952	Anxa1	-4.38	0.0000118	0.0000754	0.0103
26557	Homer2	4.38	0.0000118	0.0000754	0.0103
19219	Ptger4	-4.36	0.0000127	0.0000805	0.0111
53883	Celsr2	4.35	0.0000138	0.0000867	0.0121
17005	Ltk	4.32	0.0000154	0.0000958	0.0134
319642	Rab9b	4.3	0.0000168	0.000104	0.0146
58175	Rgs20	4.27	0.0000196	0.000121	0.0171
56491	Vapb	4.26	0.0000204	0.000125	0.0178
69550	Bst2	-4.24	0.0000228	0.000138	0.0199
18166	Npy1r	4.23	0.0000229	0.000138	0.02
78255	Ralgps2	-4.23	0.0000235	0.000141	0.0205
14397	Gabra4	4.22	0.0000241	0.000143	0.021
13845	Ephb3	4.2	0.0000267	0.000157	0.0233
51789	Tnk2	4.2	0.0000269	0.000157	0.0235
243270	Hcar1	4.2	0.0000271	0.000157	0.0236
12522	Cd83	4.2	0.0000272	0.000157	0.0238
14401	Gabrb2	4.19	0.0000281	0.000162	0.0246
20353	Sema4c	-4.18	0.0000297	0.000169	0.0259
319387	Adgrl3	4.17	0.0000306	0.000173	0.0267
16412	Itgb1	-4.17	0.0000309	0.000174	0.027
15565	Htr6	4.16	0.0000325	0.000182	0.0284
270160	Rab39	4.14	0.0000343	0.000191	0.0299
14745	Lpar1	-4.12	0.0000373	0.000205	0.0326
26412	Map4k2	4.12	0.0000374	0.000205	0.0327
15976	Ifnar2	-4.12	0.0000381	0.000208	0.0333
21838	Thy1	4.11	0.0000395	0.000213	0.0345
72729	Cdc42se2	4.11	0.0000396	0.000213	0.0346
60533	Cd274	-4.08	0.0000449	0.00024	0.0392
239393	Lrp12	4.08	0.0000451	0.00024	0.0394
19264	Ptprc	-4.07	0.0000479	0.000253	0.0418
20496	Slc12a2	-4.06	0.0000492	0.000259	0.043
18764	Pkd2	-4.05	0.0000507	0.000265	0.0442
75141	Rasd2	4.05	0.0000515	0.000268	0.045
16403	Itga6	-4.05	0.0000518	0.000268	0.0452
14083	Ptk2	3.98	0.0000693	0.000356	0.0605
58182	Prokr1	3.96	0.0000746	0.000381	0.0651
12426	Cckbr	3.96	0.000075	0.000381	0.0655
68365	Rab14	3.95	0.000077	0.000389	0.0672
13728	Mark2	3.92	0.0000888	0.000445	0.0775
16728	L1cam	3.92	0.0000893	0.000445	0.078
13618	Ednrb	3.9	0.0000982	0.000487	0.0857
12554	Cdh13	3.89	0.0000994	0.00049	0.0868
56644	Clec7a	-3.88	0.000104	0.000509	0.0906
70497	Arhgap17	-3.86	0.000112	0.000543	0.0975
29875	Iqgap1	-3.86	0.000112	0.000543	0.0977
23965	Tenm3	3.86	0.000114	0.00055	0.0996
19340	Rab3d	3.86	0.000115	0.00055	0.1
192775	Kcnh6	3.85	0.000119	0.000568	0.104
229323	Gpr171	-3.85	0.00012	0.000569	0.105
50915	Grb14	3.8	0.000145	0.000683	0.126
330914	Arhgap32	3.79	0.000148	0.000694	0.129
18550	Furin	-3.79	0.000153	0.000713	0.133
16161	Il12rb1	-3.77	0.000162	0.000752	0.141
99296	Hrh3	3.77	0.000165	0.00076	0.144
64652	Nisch	3.75	0.000174	0.000798	0.152
99470	Magi3	3.72	0.000198	0.000905	0.173
14608	Gpr83	3.71	0.000204	0.000926	0.178
18183	Nrg3	3.71	0.000205	0.000926	0.179
19341	Rab4a	3.71	0.000211	0.00095	0.184
74053	Grip1	3.7	0.000214	0.000957	0.187
51791	Rgs14	3.7	0.000216	0.000961	0.188
17532	Mras	3.69	0.000226	0.001	0.197
84092	Usp8	-3.66	0.000249	0.0011	0.217
56044	Rala	-3.65	0.000265	0.00116	0.231
23890	Gpr34	3.64	0.000275	0.0012	0.24
269831	Tspan12	3.64	0.000277	0.00121	0.242
16149	Cd74	-3.61	0.000305	0.00132	0.266
12389	Cav1	-3.61	0.000307	0.00132	0.268
12491	Cd36	-3.58	0.000343	0.00146	0.299
18824	Plp2	-3.58	0.000343	0.00146	0.3
57278	Bcam	3.58	0.00035	0.00148	0.305
14726	Pdpn	-3.57	0.000356	0.0015	0.311
16450	Jag2	3.56	0.00037	0.00155	0.323
319757	Smo	-3.55	0.00038	0.00159	0.332
18160	Npr1	-3.55	0.000389	0.00162	0.34
18386	Oprd1	3.53	0.000416	0.00172	0.363
17311	Kitl	-3.52	0.000426	0.00175	0.372
64337	Gng13	3.51	0.000444	0.00182	0.388
109552	Sri	-3.51	0.000445	0.00182	0.389
241226	Itga8	3.5	0.000472	0.00192	0.412
50779	Rgs6	3.49	0.000476	0.00192	0.416
11444	Chrnb2	-3.49	0.000485	0.00195	0.423
233071	Arhgap33	3.47	0.00052	0.00208	0.454
17082	Il1rl1	-3.47	0.000523	0.00209	0.457
16428	Itk	-3.46	0.000543	0.00215	0.474
20606	Sstr2	3.45	0.00056	0.00221	0.489
11658	Alcam	3.45	0.000569	0.00224	0.497
21944	Tnfsf12	-3.44	0.000589	0.00231	0.514
269615	Plch2	3.42	0.000623	0.00243	0.543
14405	Gabrg1	3.4	0.00067	0.0026	0.585
73010	Gpr22	3.4	0.000676	0.00261	0.59
107568	Wwp1	-3.39	0.000691	0.00266	0.603
93960	Nkd1	3.39	0.000707	0.00271	0.617
16643	Klrd1	-3.39	0.000712	0.00271	0.621
22339	Vegfa	-3.37	0.000744	0.00282	0.649
14403	Gabrd	3.37	0.000757	0.00286	0.661
20742	Sptbn1	-3.36	0.000776	0.00292	0.677
14744	Gpr65	-3.35	0.000802	0.003	0.7
14585	Gfra1	3.32	0.000895	0.00334	0.781
53321	Cntnap1	3.32	0.000908	0.00337	0.793
18127	Nos3	3.3	0.000954	0.00353	0.833
14709	Gng8	-3.3	0.000959	0.00353	0.837
12772	Ccr2	3.3	0.000971	0.00356	0.848
16438	Itpr1	3.28	0.00102	0.00373	0.892
54366	Ctnnal1	-3.27	0.00106	0.00384	0.925
11861	Arl4a	3.27	0.00106	0.00384	0.925
68799	Rgmb	3.26	0.00111	0.00401	0.97
64450	Gpr85	3.25	0.00117	0.00419	1
72318	Cyth4	3.24	0.00119	0.00425	1
14409	Gabrr2	3.22	0.00127	0.00453	1
14579	Gem	-3.21	0.00132	0.00467	1
16401	Itga4	3.18	0.00149	0.00525	1
13846	Ephb4	-3.17	0.00154	0.00544	1
18387	Oprk1	3.15	0.00163	0.0057	1
77799	Sla2	3.15	0.00163	0.0057	1
12062	Bdkrb2	3.15	0.00164	0.00571	1
19218	Ptger3	3.14	0.00168	0.00581	1
14396	Gabra3	3.14	0.00169	0.00583	1
14810	Grin1	3.13	0.00176	0.00604	1
26364	Adgre5	-3.1	0.00191	0.00655	1
18720	Pip5k1a	3.09	0.00197	0.00673	1
170757	Adgrl4	3.08	0.00205	0.00695	1
19326	Rab11b	3.07	0.00216	0.00733	1
12977	Csf1	-3.06	0.00222	0.00748	1
16526	Kcnk2	3.06	0.00224	0.00751	1
16420	Itgb6	-3.06	0.00225	0.00751	1
14127	Fcer1g	-3.05	0.00226	0.00751	1
18213	Ntrk3	3.05	0.00226	0.00751	1
67295	Rab3c	3.04	0.00237	0.00785	1
171469	Gpr37l1	3	0.00273	0.00899	1
68566	Caly	2.99	0.00276	0.00906	1
75985	Rab30	2.98	0.00287	0.00938	1
13385	Dlg4	2.97	0.00302	0.00983	1
14254	Flt1	2.96	0.00306	0.00992	1
11553	Adra2c	2.95	0.0032	0.0104	1
110637	Grik4	2.94	0.00329	0.0106	1
68328	Rab13	-2.93	0.00334	0.0107	1
26558	Homer3	-2.93	0.00335	0.0107	1
20515	Slc20a1	-2.92	0.0035	0.0111	1
19229	Ptk2b	2.92	0.00355	0.0113	1
19281	Ptprt	2.9	0.00375	0.0119	1
17083	Tmed1	-2.89	0.00381	0.012	1
70693	Adgra2	-2.85	0.00436	0.0137	1
12671	Chrm3	2.85	0.00441	0.0138	1
54153	Rasa4	-2.84	0.00452	0.0141	1
211577	Mrgprf	-2.8	0.00506	0.0157	1
17096	Lyn	-2.8	0.00517	0.016	1
71326	Treml1	-2.79	0.00527	0.0163	1
13430	Dnm2	-2.79	0.00529	0.0163	1
27041	G3bp1	-2.78	0.00538	0.0164	1
17202	Mc4r	2.78	0.00539	0.0164	1
217692	Sipa1l1	2.77	0.00562	0.0171	1
16150	Ikbkb	-2.72	0.00656	0.0199	1
110596	Arhgef28	2.71	0.00671	0.0203	1
277360	Prex1	2.71	0.00679	0.0205	1
14805	Grik1	2.7	0.00693	0.0208	1
22210	Ube2b	2.69	0.00724	0.0216	1
11989	Slc7a3	2.65	0.00801	0.0239	1
19876	Robo1	2.63	0.00844	0.025	1
230857	Ece1	2.6	0.00923	0.0273	1
14367	Fzd5	2.59	0.00952	0.028	1
22045	Trhr	2.59	0.00953	0.028	1
21813	Tgfbr2	-2.58	0.00986	0.0289	1
66313	Smurf2	-2.55	0.0108	0.0315	1
12502	Cd3g	-2.53	0.0114	0.0332	1
19329	Rab17	2.53	0.0115	0.0332	1
20605	Sstr1	2.53	0.0115	0.0332	1
13848	Ephb6	2.51	0.0122	0.0352	1
53378	Sdcbp	-2.5	0.0124	0.0356	1
13857	Epor	2.47	0.0136	0.039	1
11477	Acvr1	-2.45	0.0143	0.0407	1
57385	P2ry4	2.45	0.0143	0.0407	1
16452	Jak2	-2.45	0.0144	0.0409	1
12804	Cntfr	2.44	0.0148	0.0418	1
66340	Psenen	2.44	0.0149	0.0419	1
19419	Rasgrp1	2.43	0.0151	0.0423	1
16411	Itgax	-2.43	0.0153	0.0427	1
12168	Bmpr2	2.42	0.0155	0.0433	1
16797	Lat	-2.4	0.0162	0.0451	1
12767	Cxcr4	-2.4	0.0163	0.0451	1
110886	Gabra5	2.4	0.0163	0.0451	1
14130	Fcgr2b	-2.39	0.0168	0.0462	1
11804	Aplp2	2.38	0.0171	0.047	1
19395	Rasgrp2	2.38	0.0175	0.0477	1
99633	Adgrl2	2.38	0.0175	0.0477	1
20778	Scarb1	-2.37	0.0176	0.0478	1
16409	Itgam	2.37	0.0178	0.0481	1
14710	Gngt2	-2.36	0.0181	0.0489	1
271849	Shc4	2.36	0.0184	0.0495	1
11419	Asic1	2.36	0.0185	0.0497	1
327826	Frs2	2.34	0.0192	0.0513	1
230103	Npr2	2.34	0.0195	0.052	1
13805	Eng	2.33	0.0196	0.0521	1
258697	Olfr1444	-2.33	0.0196	0.0521	1
16423	Cd47	2.32	0.0205	0.0542	1
14365	Fzd3	2.31	0.0207	0.0546	1
11555	Adrb2	-2.3	0.0213	0.056	1
59287	Ncstn	-2.3	0.0215	0.0563	1
12695	Inadl	-2.29	0.0222	0.0581	1
19012	Ppap2a	2.29	0.0223	0.0581	1
18596	Pdgfrb	-2.26	0.0238	0.0619	1
16169	Il15ra	2.26	0.024	0.0622	1
15560	Htr2c	2.25	0.0246	0.0637	1
16818	Lck	-2.24	0.0248	0.0638	1
319197	Gpr4	2.22	0.0262	0.0672	1
12978	Csf1r	2.22	0.0267	0.0683	1
27371	Sh2d2a	2.22	0.0267	0.0683	1
67168	Lpar6	-2.21	0.0273	0.0695	1
18168	Npy5r	2.2	0.0277	0.0703	1
14184	Fgfr3	2.18	0.0295	0.0746	1
18436	P2rx1	2.18	0.0296	0.0747	1
56743	Lat2	-2.16	0.0305	0.0767	1
76338	Rab2b	2.16	0.0309	0.0776	1
104110	Adcy4	2.15	0.0316	0.079	1
14706	Gng4	-2.12	0.034	0.0847	1
64143	Ralb	2.12	0.034	0.0847	1
11539	Adora1	2.11	0.0346	0.0857	1
67839	Gpsm1	-2.11	0.0346	0.0857	1
16202	Ilk	-2.11	0.0351	0.0866	1
19165	Psen2	2.1	0.0354	0.087	1
14160	Lgr5	2.1	0.0361	0.0886	1
78514	Arhgap10	2.07	0.0385	0.0941	1
54631	Nphs1	-2.06	0.0397	0.0968	1
17086	Ncr1	-2.04	0.0416	0.101	1
15558	Htr2a	2.03	0.0423	0.103	1
14708	Gng7	2.03	0.0426	0.103	1
243743	Plxna4	2.02	0.0436	0.105	1
14370	Fzd8	2.01	0.0445	0.107	1
114715	Spred1	2.01	0.0446	0.107	1
16180	Il1rap	-1.99	0.0471	0.113	1
14360	Fyn	1.98	0.0476	0.113	1
12305	Ddr1	-1.96	0.0494	0.117	1
226255	Atrnl1	1.96	0.0495	0.117	1
13527	Dtna	1.96	0.0504	0.119	1
319239	Npsr1	1.95	0.0509	0.12	1
16971	Lrp1	-1.93	0.0533	0.126	1
140795	P2ry14	1.91	0.0565	0.133	1
208154	Btla	-1.86	0.0627	0.147	1
224129	Adcy5	1.86	0.0629	0.147	1
15245	Hhip	1.86	0.0636	0.148	1
100972	Rab28	1.85	0.0639	0.148	1
26564	Ror2	1.84	0.0654	0.151	1
19882	Mst1r	1.84	0.0662	0.153	1
13607	Eda	1.83	0.067	0.154	1
65112	Pmepa1	1.83	0.0672	0.154	1
14738	Gpr12	1.82	0.0685	0.157	1
259012	Olfr1052	1.82	0.0686	0.157	1
21948	Cd70	1.8	0.0725	0.165	1
19217	Ptger2	-1.8	0.0725	0.165	1
14309	Fshr	1.79	0.0731	0.166	1
12504	Cd4	1.76	0.0781	0.177	1
12482	Ms4a1	-1.76	0.0784	0.177	1
16974	Lrp6	-1.75	0.0794	0.179	1
66922	Rras2	-1.75	0.0808	0.181	1
16449	Jag1	1.75	0.0809	0.181	1
22637	Zap70	-1.74	0.081	0.181	1
11848	Rhoa	-1.74	0.0815	0.182	1
11541	Adora2b	1.73	0.0835	0.185	1
27260	Plek2	-1.73	0.0837	0.186	1
18760	Prkd1	1.73	0.084	0.186	1
16410	Itgav	-1.72	0.0853	0.188	1
27261	Dok3	-1.72	0.0853	0.188	1
239845	Gpr156	1.72	0.0858	0.188	1
22032	Traf4	-1.71	0.088	0.192	1
30960	Vapa	-1.7	0.0882	0.193	1
54215	Cd160	-1.69	0.0913	0.199	1
18704	Pik3c2a	1.69	0.0914	0.199	1
11435	Chrna1	-1.69	0.0917	0.199	1
15552	Htr1d	1.69	0.092	0.199	1
21926	Tnf	1.67	0.0942	0.203	1
110326	Tas1r1	1.66	0.0974	0.209	1
271639	Adcy10	1.66	0.0977	0.209	1
110835	Chrna5	1.66	0.0978	0.209	1
225164	Mib1	-1.65	0.0985	0.21	1
319480	Itga11	1.64	0.102	0.217	1
108015	Chrnb4	1.63	0.103	0.219	1
13842	Epha8	1.63	0.104	0.22	1
574402	Gpr17	-1.62	0.104	0.22	1
108100	Baiap2	1.62	0.105	0.222	1
56297	Arl6	1.61	0.107	0.225	1
14764	Ptgdr2	-1.61	0.107	0.225	1
16402	Itga5	-1.61	0.107	0.225	1
228543	Rhov	-1.61	0.108	0.225	1
13599	Ecel1	1.6	0.11	0.229	1
12519	Cd80	-1.6	0.11	0.229	1
11480	Acvr2a	1.59	0.111	0.229	1
14804	Grid2	1.59	0.111	0.229	1
14767	Nmur1	1.59	0.111	0.23	1
16162	Il12rb2	1.59	0.112	0.231	1
14407	Gabrg3	1.58	0.115	0.235	1
54447	Asah2	1.57	0.117	0.239	1
319200	Gpr82	1.57	0.117	0.239	1
12481	Cd2	-1.56	0.119	0.243	1
16590	Kit	1.56	0.119	0.243	1
14700	Gng10	1.56	0.119	0.243	1
12777	Ccr10	-1.55	0.12	0.243	1
18016	Nf2	1.54	0.123	0.248	1
108723	Card11	-1.54	0.124	0.249	1
109700	Itga1	1.54	0.124	0.25	1
14366	Fzd4	1.51	0.132	0.264	1
17274	Rab8a	-1.49	0.137	0.275	1
20339	Sele	-1.49	0.137	0.275	1
56760	Clec1b	-1.48	0.138	0.276	1
12494	Cd38	-1.48	0.139	0.276	1
14765	Gpr50	-1.48	0.139	0.276	1
71862	Gpr160	1.48	0.14	0.278	1
18607	Pdpk1	1.47	0.141	0.279	1
11479	Acvr1b	1.47	0.142	0.279	1
107607	Nod1	-1.46	0.143	0.282	1
226422	Rab29	-1.46	0.144	0.283	1
83770	Tas1r2	-1.44	0.149	0.292	1
11303	Abca1	-1.44	0.15	0.294	1
14586	Gfra2	-1.44	0.151	0.294	1
18312	Olfr15	1.43	0.154	0.299	1
18101	Nmbr	1.42	0.154	0.299	1
17999	Nedd4	-1.42	0.155	0.299	1
78826	P2ry10	1.42	0.155	0.3	1
14182	Fgfr1	-1.42	0.156	0.3	1
319430	C5ar2	1.42	0.157	0.302	1
381489	Rxfp1	1.41	0.16	0.306	1
15559	Htr2b	1.4	0.16	0.307	1
14701	Gng12	-1.4	0.162	0.309	1
16184	Il2ra	1.4	0.162	0.31	1
209588	Sectm1a	-1.4	0.163	0.31	1
12672	Chrm4	1.39	0.165	0.313	1
16985	Lsp1	-1.39	0.165	0.313	1
11987	Slc7a1	-1.38	0.167	0.315	1
13636	Efna1	-1.38	0.168	0.316	1
16421	Itgb7	-1.38	0.168	0.316	1
19157	Cyth1	1.38	0.168	0.316	1
229277	Stoml3	-1.38	0.169	0.316	1
12614	Celsr1	1.37	0.169	0.316	1
258573	Olfr1020	1.37	0.17	0.316	1
11512	Adcy6	-1.35	0.176	0.326	1
50928	Klrg1	1.35	0.176	0.326	1
70357	Kcnip1	1.35	0.177	0.328	1
114716	Spred2	-1.35	0.178	0.329	1
216991	Adap2	-1.35	0.178	0.329	1
19775	Xpr1	1.33	0.182	0.335	1
22355	Vipr2	1.33	0.183	0.335	1
11891	Rab27a	-1.33	0.183	0.335	1
19769	Rit1	1.33	0.183	0.335	1
14924	Magi1	1.32	0.185	0.339	1
14673	Gna12	1.32	0.187	0.34	1
57916	Tnfrsf13b	1.32	0.187	0.34	1
29866	Cabp2	1.31	0.19	0.344	1
14293	Fpr1	1.31	0.19	0.344	1
18211	Ntrk1	1.31	0.191	0.344	1
234664	Nae1	-1.31	0.191	0.344	1
54199	Ccrl2	-1.31	0.191	0.344	1
22253	Unc5c	1.3	0.195	0.35	1
16880	Lifr	1.29	0.196	0.352	1
271457	Rab5a	1.29	0.197	0.353	1
16147	Ihh	1.29	0.198	0.353	1
54598	Calcrl	-1.28	0.202	0.36	1
14699	Gngt1	-1.27	0.205	0.365	1
12501	Cd3e	-1.26	0.207	0.367	1
209039	Tns2	-1.26	0.208	0.368	1
69159	Rhebl1	-1.26	0.208	0.368	1
19206	Ptch1	1.26	0.209	0.369	1
12279	C9	1.25	0.212	0.372	1
80290	Gpr146	-1.24	0.215	0.377	1
12506	Cd48	1.23	0.22	0.386	1
73379	Dcbld2	1.22	0.223	0.389	1
140498	Rxfp2	1.22	0.224	0.39	1
13489	Drd2	1.21	0.226	0.393	1
17207	Mcf2l	-1.2	0.23	0.399	1
14674	Gna13	-1.2	0.23	0.399	1
14294	Fpr3	1.19	0.236	0.408	1
16186	Il2rg	-1.19	0.236	0.408	1
14802	Gria4	-1.18	0.237	0.409	1
63873	Trpv4	-1.18	0.24	0.412	1
24099	Tnfsf13b	1.18	0.24	0.412	1
18806	Pld2	-1.17	0.241	0.414	1
81006	Gpr63	-1.17	0.242	0.414	1
16847	Lepr	1.17	0.243	0.415	1
14687	Gnaz	1.16	0.248	0.422	1
18053	Ngfr	1.15	0.25	0.425	1
